Test	G-D3QN	DQN	ACO	OSPF
Test 1	0.6189482043888158	0.633723253965387	0.6260146953999484	0.7367070872739098
Test 2	0.6189817136446298	0.6242917811395452	0.6203464616257759	0.6857768521462577
Test 3	0.6217662733885668	0.6225343220183359	0.6255727721947222	0.7920302899859353
Test 4	0.615177439528615	0.6169869068325105	0.6168095773057194	0.844783567526773
Test 5	0.6183433746632219	0.648843713622779	0.6193446173549028	0.6700617194245245
Test 6	0.6209407022109675	0.6368078410489001	0.6227362678519704	0.6418388363322822
Test 7	0.6178150694361599	0.6354352072042936	0.6199866649991461	0.769339575244723
Test 8	0.6094163555240839	0.6325671230073506	0.6210124300428548	0.873216774450793
Test 9	0.6190069736481882	0.6270987421642551	0.6226702909581958	0.6200745514515104
Test 10	0.6136253251667095	0.6316630757512899	0.6211077757557396	0.7225976875598574

