
Test	G-D3QN	DQN	ACO	OSPF
Test 1	0.6484720252784016	0.6493594145768359	0.6493224888608007	0.7604266829570446
Test 2	0.6412069202272621	0.6496188386366726	0.6423280922429996	0.8832897304734227
Test 3	0.6455299304371457	0.6548931653422863	0.6616673029121154	0.6860970518583751
Test 4	0.6483312162942348	0.6607523350835398	0.6493907855564588	0.8391624044757977
Test 5	0.6478431997771688	0.6628787786091603	0.6617413690696023	0.794054366580254
Test 6	0.6425594989543841	0.6487246952301866	0.6446785941886661	0.8800225149637734
Test 7	0.6560592419320528	0.6561694435166909	0.6680961327569319	0.7094183582016645
Test 8	0.6437390366115838	0.6532615976799792	0.6476866742532994	0.6616632993594856
Test 9	0.6277032494443318	0.6614948669984492	0.6467520921702141	0.7933349179795547
Test 10	0.6525540818357858	0.664425873634779	0.6630055089279503	0.8640498575828923
