Test	G-D3QN	DQN	ACO	OSPF
Test 1	116.37091179941599	118.10956349758358	120.10779534566106	118.6635392338553
Test 2	116.45828584430228	118.44365408783797	121.51819199009674	135.72952499452435
Test 3	117.34209297307038	117.85680959011702	121.96753494235732	126.5044308844193
Test 4	117.025494305048	118.37601996424837	118.91410487736555	126.75031462515254
Test 5	116.37948127449226	117.19277409837468	121.11896170323416	132.94907853294913
Test 6	116.98707666019209	117.14851488816578	121.03089985410841	121.46070580632687
Test 7	116.40256293821565	118.57458918205873	120.9277027079801	125.8765998286161
Test 8	117.73804310816925	118.95957342629808	121.06307390015297	122.50306883444249
Test 9	115.57864032318204	116.33406698872281	120.85119603064663	123.69684271726504
Test 10	116.39178109209104	118.69135472519997	122.89207976964619	126.84260617683522

