Test	G-D3QN	DQN	ACO	OSPF
1	133.32679617725717	136.1993901905289	135.61395902560494	147.64279900455682
2	134.44744305964028	135.35868662309184	134.46967596869666	136.11664326675253
3	135.29195182082853	136.13640880435932	136.42856006276855	152.3189335287429
4	133.6635015303388	135.55208714088138	135.455853554049	143.80242364221158
5	133.7720473607423	135.73226808657475	134.35098925616256	148.6291777004157
6	134.6777586143101	135.90509328458364	136.28927072698275	139.49884194468692
7	133.7903715282284	134.83579171864724	134.76188287323453	133.9143121894435
8	133.78865937858612	137.63872907975878	134.22691769226674	133.42993174940318
9	133.5979987844051	136.40715808065116	134.8103321862646	148.48223200067122
10	134.3043544308656	135.41103463112944	135.9015840310389	142.13740834384203
